39,23,78,0,0
39,23,77,613,613
39,23,22,364,364
40,5,121,0,0
40,5,6,432,432
40,7,10,130,130
40,7,47,364,364
40,7,8,313,313
40,43,44,0,0
40,43,51,349,349
41,73,85,104,104
41,53,50,1069,1069
41,53,119,472,472
41,123,8,445,445
41,83,12,722,722
41,86,48,817,817
43,51,94,455,455
44,43,51,106,106
44,43,40,0,0
45,44,43,106,106
46,8,123,182,182
46,8,45,293,293
46,8,7,52,52
48,108,109,1149,1149
48,86,41,1046,1046
48,12,83,93,93
48,12,111,331,331
48,12,115,160,160
48,110,71,724,724
51,94,58,0,0
51,94,41,455,455
53,50,54,815,815
53,50,40,231,231
53,119,143,472,472
54,113,114,440,440
54,113,106,0,0
54,40,90,0,0
54,40,5,256,256
54,40,7,404,404
54,40,43,0,0
54,40,50,0,0
54,63,85,0,0
54,63,74,218,218
57,19,134,1587,1587
57,19,18,0,0
57,17,18,0,0
57,17,37,294,294
57,17,16,0,0
57,17,35,0,0
60,33,80,0,0
60,33,57,845,845
60,33,142,352,352
63,54,113,127,127
63,54,40,684,684
63,54,50,0,0
63,74,141,264,264
35,17,57,0,0
35,17,18,0,0
35,17,37,260,260
35,17,16,0,0
64,34,35,260,260
64,34,36,0,0
65,67,69,185,185
65,67,66,26,26
65,70,100,1071,1071
65,70,68,134,134
66,25,142,46,46
66,25,64,0,0
66,25,24,0,0
66,25,32,0,0
67,69,68,165,165
67,69,66,20,20
67,66,69,0,0
67,66,25,26,26
68,69,66,0,0
68,69,67,0,0
68,101,100,0,0
68,101,102,159,159
69,66,25,20,20
69,66,67,0,0
69,68,70,0,0
69,68,101,28,28
70,68,101,134,134
70,68,69,0,0
70,100,101,0,0
72,31,32,254,254
72,31,89,1449,1449
72,31,114,0,0
73,85,63,104,104
78,23,77,129,129
78,23,22,1337,1337
78,23,39,0,0
79,82,99,1102,1102
80,61,103,104,104
80,61,79,0,0
80,33,57,0,0
80,33,142,385,385
80,33,60,0,0
61,79,81,0,0
61,79,82,1104,1104
61,80,33,390,390
83,41,86,7,7
83,41,73,71,71
83,41,53,1023,1023
83,41,94,0,0
83,41,123,0,0
83,12,111,63,63
83,12,115,659,659
83,12,48,0,0
50,54,63,487,487
50,54,113,328,328
50,54,40,0,0
50,40,54,0,0
50,40,90,0,0
50,40,5,177,177
50,40,7,36,36
50,40,43,0,0
55,78,23,1516,1516
62,27,6,172,172
62,27,30,1218,1218
92,46,8,580,580
101,102,49,0,0
101,102,60,136,136
101,100,70,0,0
102,60,33,1236,1236
102,101,68,0,0
102,101,100,0,0
98,72,31,1755,1755
81,79,82,5,5
81,79,61,0,0
103,61,79,1109,1109
103,61,80,390,390
104,81,79,5,5
37,87,88,0,0
37,87,20,1103,1103
37,2,145,51,51
37,2,9,548,548
37,2,4,0,0
37,2,3,0,0
37,14,26,31,31
37,14,112,717,717
37,14,89,0,0
37,14,15,0,0
14,15,16,654,654
14,37,17,0,0
14,37,87,984,984
14,37,2,0,0
14,26,28,630,630
14,26,122,0,0
14,112,120,242,242
14,112,89,862,862
112,120,13,242,242
112,89,90,63,63
112,89,31,769,769
112,89,24,0,0
112,89,14,0,0
13,76,1,106,106
13,122,26,27,27
13,121,5,24,24
13,144,59,52,52
13,107,106,58,58
113,114,31,345,345
113,114,96,149,149
114,31,72,43,43
114,31,32,302,302
114,31,89,0,0
114,96,90,143,143
114,96,97,0,0
119,143,13,472,472
120,13,122,0,0
120,13,121,0,0
120,13,144,0,0
120,13,143,0,0
120,13,105,0,0
120,13,107,0,0
120,13,76,0,0
121,5,6,17,17
121,5,40,0,0
122,26,14,27,27
122,26,28,0,0
85,63,74,46,46
85,63,54,58,58
71,110,48,1091,1091
74,63,54,860,860
74,63,85,0,0
12,48,110,39,39
12,48,108,1144,1144
12,48,86,0,0
12,83,41,1183,1183
12,111,116,394,394
12,115,117,818,818
42,75,38,0,0
42,75,130,0,0
42,75,125,394,394
42,128,129,330,330
42,39,23,739,739
42,39,38,0,0
75,125,127,1161,1161
75,42,124,0,0
75,42,128,330,330
75,42,39,0,0
87,20,18,324,324
87,20,130,2474,2474
87,20,21,0,0
87,37,2,113,113
87,37,14,223,223
87,37,17,0,0
87,88,93,712,712
88,87,20,1743,1743
88,87,37,0,0
88,93,95,712,712
93,88,87,1760,1760
94,41,123,73,73
94,41,83,488,488
94,41,86,0,0
94,41,73,0,0
94,41,53,0,0
49,102,60,1170,1170
49,102,101,0,0
52,62,27,1406,1406
89,14,15,12,12
89,14,37,831,831
89,14,26,599,599
89,14,112,0,0
89,90,1,0,0
89,90,40,374,374
89,90,97,0,0
89,90,96,0,0
89,31,114,0,0
89,31,72,767,767
89,31,32,0,0
90,40,5,45,45
90,40,7,182,182
90,40,43,349,349
90,40,50,0,0
90,40,54,0,0
90,97,105,0,0
90,97,96,0,0
95,93,88,1783,1783
1,90,40,97,97
1,90,97,0,0
1,90,96,0,0
1,90,89,0,0
96,90,89,0,0
96,90,1,0,0
96,90,40,139,139
96,90,97,0,0
96,97,90,0,0
96,97,105,0,0
97,105,13,0,0
105,13,107,0,0
105,13,76,0,0
105,13,120,0,0
105,13,122,0,0
105,13,121,0,0
105,13,144,0,0
105,13,143,0,0
106,113,54,0,0
106,113,114,42,42
107,106,113,50,50
10,6,5,0,0
10,6,4,476,476
10,6,11,0,0
10,6,27,0,0
10,7,47,117,117
10,7,8,628,628
10,7,40,0,0
108,48,86,0,0
108,48,12,489,489
108,48,110,0,0
109,108,48,535,535
111,12,115,0,0
111,12,48,971,971
111,12,83,407,407
115,12,48,212,212
115,12,83,733,733
115,12,111,0,0
116,111,12,1414,1414
117,115,12,1047,1047
118,71,110,1142,1142
123,8,45,42,42
123,8,7,389,389
123,8,46,0,0
123,41,83,234,234
123,41,86,815,815
123,41,73,0,0
123,41,53,0,0
123,41,94,0,0
124,42,128,0,0
124,42,39,749,749
124,42,75,0,0
126,124,42,799,799
128,42,39,46,46
128,42,75,420,420
128,42,124,0,0
129,128,42,500,500
130,131,132,3232,3232
130,75,125,71,71
130,75,42,196,196
130,75,38,0,0
130,20,21,0,0
130,20,87,480,480
130,20,18,0,0
133,130,131,0,0
133,130,75,168,168
133,130,20,499,499
133,18,20,0,0
133,18,17,795,795
133,18,19,9,9
134,139,140,239,239
134,135,136,1436,1436
134,133,137,0,0
134,133,130,190,190
134,133,18,51,51
137,133,130,487,487
137,133,18,866,866
137,133,134,0,0
138,137,133,1387,1387
139,134,135,0,0
139,134,133,23,23
139,134,19,0,0
140,139,134,23,23
58,94,41,109,109
58,94,51,0,0
59,58,94,109,109
76,1,90,103,103
77,9,84,130,130
77,9,11,606,606
77,9,2,0,0
86,41,73,33,33
86,41,53,616,616
86,41,94,0,0
86,41,123,381,381
86,41,83,0,0
86,48,12,129,129
86,48,110,685,685
86,48,108,0,0
110,48,108,5,5
110,48,86,1065,1065
110,48,12,0,0
110,71,118,724,724
141,74,63,897,897
142,33,60,0,0
142,33,80,104,104
142,33,57,0,0
142,25,64,260,260
142,25,24,467,467
142,25,32,0,0
142,25,66,0,0
143,13,105,0,0
143,13,107,0,0
143,13,76,0,0
143,13,120,0,0
143,13,122,0,0
143,13,121,0,0
143,13,144,0,0
144,59,58,109,109
145,22,21,380,380
145,22,38,624,624
145,22,23,0,0
